modality,vocal_channel,emotion,intensity,statement,repetition,actor,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,mfcc_21_mean,mfcc_21_std,mfcc_22_mean,mfcc_22_std,mfcc_23_mean,mfcc_23_std,mfcc_24_mean,mfcc_24_std,mfcc_25_mean,mfcc_25_std,mfcc_26_mean,mfcc_26_std,mfcc_27_mean,mfcc_27_std,mfcc_28_mean,mfcc_28_std,mfcc_29_mean,mfcc_29_std,mfcc_30_mean,mfcc_30_std,mfcc_31_mean,mfcc_31_std,mfcc_32_mean,mfcc_32_std,mfcc_33_mean,mfcc_33_std,mfcc_34_mean,mfcc_34_std,mfcc_35_mean,mfcc_35_std,mfcc_36_mean,mfcc_36_std,mfcc_37_mean,mfcc_37_std,mfcc_38_mean,mfcc_38_std,mfcc_39_mean,mfcc_39_std,mfcc_40_mean,mfcc_40_std,mel_spectogram_mean,mel_spectogram_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_mean,rms_std,pitch_mean,pitch_std,file_path,emotion_label,intensity_label,statement_label,gender
3,1,1,1,2,2,1,-710.9753,161.77583,67.56488,78.59396,5.7822413,20.279503,13.230726,24.528292,6.1908455,11.280048,12.628252,16.704357,-1.6751695,13.141413,5.6574936,8.686153,-4.950634,12.079803,-3.4775455,9.627914,-7.416558,12.1446,-1.937004,7.221593,2.2715254,7.5908246,-0.61125547,7.4492803,0.17463192,6.3217015,1.3954357,5.3799644,-2.3914657,6.393583,-0.66533786,6.7431374,1.7429572,5.6609764,-0.49506843,4.9177704,-3.0143745,7.756951,-0.97913355,5.117613,0.53461426,4.654088,0.2684628,4.258188,-2.3651779,5.57061,-2.670341,6.145879,-1.3975948,3.9718451,-0.043934062,3.6261969,-2.1590412,4.8123074,-1.5748215,4.8762107,-0.40380603,3.725841,-1.3296508,4.2233477,-2.5134048,5.6621017,-0.19027616,3.859948,-0.6459489,3.4903865,-0.5539188,3.8698833,0.45929873,3.1092958,-1.5800844,4.185337,-1.6476823,3.8238194,-1.5095106,4.270118,0.004341372,0.051498126,7008.958169433834,3975.417498344464,5802.31532200123,1915.7961341208825,13272.074244966443,7570.671093029625,0.05383546560402685,0.05189877057643698,0.0025207684,0.004177776,505.8616204568148,647.7241570633785,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,neutral,normal,dogs_sitting,male
3,1,2,1,1,2,1,-735.0066,146.57507,79.09305,81.97409,8.141051,23.45763,11.41355,24.758772,5.174124,12.365225,15.393285,19.791836,-2.7520719,12.571643,2.9645836,7.618043,-5.388971,11.941264,-1.6918324,6.54375,-5.8528347,9.744221,-4.0432878,8.198055,3.0046406,9.210758,-1.0366162,7.961775,-0.06775634,7.36425,0.08821347,5.251408,-2.2095819,5.154958,-1.4559767,6.0942326,2.5682304,6.874801,-1.5963124,6.5770164,-2.6786845,7.952374,-1.4108758,4.5681715,0.11890569,5.381832,-0.12726331,4.301095,-2.8479033,5.876588,-1.7715892,5.5132117,-1.8862904,4.333128,-0.7911622,4.0426044,-3.215491,6.1894503,-2.1809146,4.9886036,0.2412326,3.1274116,-2.2474449,3.5123248,-2.2200978,4.1238604,-0.24941182,3.1404555,-0.97588956,3.2649937,-0.95585364,3.9410725,-0.25904405,3.5512133,-2.1528797,4.1333394,-1.9730748,3.8643017,-1.6481354,3.413532,0.0017807579,0.024621451,6874.560406643111,4595.141611054263,5416.334828758032,1838.9447739308437,12202.82451923077,8197.55363093133,0.03303843842455621,0.04042043625852349,0.0016762057,0.0025886786,518.7046892568104,641.4347236766431,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,calm,normal,kids_talking,male
3,1,1,1,1,2,1,-719.1283,159.356,70.20157,78.61282,1.168397,23.06335,13.122543,18.9968,7.83695,12.449026,14.41129,19.218317,-4.1113596,14.516837,4.468973,8.05733,-3.5393672,11.5094185,-3.6586072,8.151206,-7.648504,12.590632,-1.4770776,7.271216,3.031821,8.202285,-2.461868,8.915654,0.59473425,8.3795395,0.9784503,6.2941856,-2.8361645,6.4844723,0.07381556,5.2216554,1.7593119,6.291144,-2.0631857,6.4614177,-2.3056283,6.5299134,-0.6622538,4.5295024,-0.94788116,5.793569,0.49746618,3.340231,-1.6925766,4.915973,-3.471765,7.504266,-0.26927546,3.3211682,-0.7767781,4.1410913,-4.0910745,7.049088,-1.2800434,4.6178517,0.27546003,3.4956415,-2.5214698,5.0293865,-2.9876728,5.817455,0.409735,3.0553024,-0.48418432,2.8253694,-1.3983908,4.3722434,0.25520343,2.9512486,-0.9849785,4.016577,-2.093061,4.2311926,-1.0407912,3.4832387,0.0034163776,0.039854538,7135.571471113649,4196.796437482529,5653.7715791849505,1897.5063710968132,13191.64337060703,7634.107566591901,0.05290441543530351,0.048074102050334834,0.0022580326,0.0036383115,489.631774577415,587.9683211507083,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,neutral,normal,kids_talking,male
3,1,1,1,1,1,1,-726.2172,157.85083,68.54142,84.219345,3.2933977,20.393255,12.2053,21.084995,5.5102777,13.634708,13.66741,19.163044,-2.9838285,14.063682,3.0980296,8.619501,-3.3108134,10.998984,-1.5643842,8.34863,-7.8616524,12.845314,-2.1242816,7.7088737,2.849204,8.651435,-2.6678061,9.310464,0.95902,7.790618,1.6281664,6.8186674,-2.736689,5.852023,0.25424102,5.548327,2.6753771,5.4258785,-1.7611657,5.6892505,-1.8864743,7.16255,-0.97562,4.863709,-0.37943727,5.585769,0.40027285,3.488844,-3.0440438,5.3671618,-2.901258,6.3406243,-0.10924796,3.254459,-0.86356527,3.6757843,-3.3332694,6.209433,-1.9784652,5.2705574,0.4570815,3.1797671,-1.3991097,3.8287802,-2.9268556,5.9757423,0.013956624,3.4834547,-0.49073377,3.4564996,-0.57090545,4.143837,0.040399306,3.3128145,-1.2072176,3.7092948,-1.5949816,4.03804,-1.4364872,3.7681453,0.0029524225,0.035142448,7416.297747905874,4428.027505480172,5551.291827512843,1966.6709424156709,13285.735887096775,7873.634241586901,0.05047568044354839,0.05578070909108009,0.0021197072,0.0033905145,621.0911491709581,696.1891063239781,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,neutral,normal,kids_talking,male
3,1,2,2,1,1,1,-771.62524,177.12521,83.32755,81.09256,9.759607,21.527704,14.268048,24.60837,6.201726,12.705015,16.020977,19.92514,-2.846898,13.995504,4.4702497,8.732266,-5.536262,11.85542,0.8787948,6.50108,-5.3482485,9.354109,-3.029556,8.118746,2.3405733,9.082781,0.6652833,6.729063,1.386622,7.0106244,-0.022842932,4.6740103,-2.428593,5.4236894,0.24819563,4.977481,2.2790198,5.1828995,-1.0718266,6.283227,-0.17045924,5.618488,-2.293886,5.5626025,0.008647524,5.3204393,2.5945902,5.366695,-3.904055,6.886004,-2.8804715,6.9057574,-0.22999476,4.908075,-0.634688,4.5190806,-3.327101,5.9323726,-1.5811127,5.211715,0.1773049,3.7476375,-1.4821043,3.8232915,-1.4364231,4.4107466,0.6987755,3.1647387,-1.6221272,4.1380005,-0.73856694,4.312461,-0.6342775,3.473835,-1.8994281,4.3773484,-2.5306487,3.8297124,-2.0102646,3.30274,0.0010930966,0.009869417,6773.71236908055,4614.297972838538,5405.0209429453025,1797.504184221815,12030.037715517241,8171.602225222101,0.03624225484913793,0.04573383341276588,0.0014528487,0.0019239896,582.0004532150286,710.6721027396728,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,calm,strong,kids_talking,male
3,1,2,1,2,1,1,-733.5249,179.0864,81.58986,89.545616,4.8633575,22.673977,14.423686,26.31153,5.2676888,12.809231,13.96856,18.270678,-3.0856166,15.189873,7.1732464,10.292573,-4.821439,11.359607,-0.9674487,8.375089,-6.2504735,12.630485,-3.8666399,8.374072,3.3255188,10.404875,-1.6680717,7.3992863,1.9813907,8.177225,0.965025,4.8162346,-2.9701676,7.4448605,0.92509615,6.1238427,2.6618714,5.3212976,-2.686702,6.6723084,-4.0897026,8.158461,-1.1427792,4.8386493,-0.04147617,4.721416,0.6396042,5.603705,-4.437098,7.505379,-1.978665,5.5845466,-1.6683793,4.2411942,-0.12961595,4.769295,-2.6481974,4.6259093,-1.7407794,4.693681,-0.24314985,3.6023588,-1.4994992,3.9393663,-3.4421825,5.793705,1.0794882,3.1040614,-1.8406905,3.9542232,-1.1412957,4.2686224,-0.5468922,3.2334132,-1.8944058,4.3268766,-1.6738298,3.716707,-0.97683465,3.3273382,0.0031864403,0.02605475,6853.974883221673,4475.978299476592,5369.609399558816,2005.113529254543,12272.273936170213,8202.028233306508,0.045950382313829786,0.05573175319119378,0.0025555012,0.0034469597,653.6203232200261,745.8304564423141,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,calm,normal,dogs_sitting,male
3,1,2,1,2,2,1,-728.363,175.01202,82.324936,88.63849,7.5005765,20.165997,12.542464,24.356997,6.7881255,10.549805,14.805659,17.106565,-2.9095802,13.235973,6.9378386,9.132057,-4.84434,11.831189,-1.8469235,8.109428,-5.68771,11.342878,-3.6666534,8.25215,2.240351,9.305952,-1.4234432,6.906211,1.2192737,7.300532,1.1254896,5.324478,-2.7243207,6.870842,0.4126956,5.7926683,2.7799656,5.780541,-1.6963865,6.0547476,-3.6588929,9.020017,-0.6342617,5.308967,-0.37053517,4.532435,0.9723827,5.0348897,-4.102185,7.058163,-2.8252192,6.6904745,-1.5755264,4.049741,-0.5603831,4.472677,-1.8017431,4.4570475,-1.6020302,4.513986,-0.63597625,3.4200299,-0.9145214,3.7037826,-2.7520134,5.32864,0.36075664,3.3472779,-1.9869837,4.0357924,-1.1664826,3.6504328,-0.4268781,2.9028542,-2.1698258,4.1801853,-1.7610769,3.448529,-0.407193,3.1789224,0.0037507096,0.03229147,6798.674100010185,4378.745287083763,5458.893139609178,2020.4526415425073,12309.504409509202,8151.296188522809,0.04764336896088957,0.04893568104218527,0.0026076469,0.0036792627,532.4278613733267,666.2448142412984,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,calm,normal,dogs_sitting,male
3,1,1,1,2,1,1,-714.9957,162.87424,69.68935,85.796005,3.9245641,17.979307,11.92419,24.541765,6.421723,10.203607,11.011614,16.115139,-2.8781028,15.47213,4.5095577,9.876256,-4.476109,11.993236,-2.6715493,8.232803,-7.4992833,13.146093,-2.9622657,7.7491665,1.8734846,8.564484,-2.9128888,8.395952,0.52569175,6.922297,1.3727965,6.70445,-2.3648312,5.940265,-2.0204954,6.9809875,1.6025524,5.45886,-1.5617237,4.665603,-3.720789,7.260319,-1.8949177,5.230533,0.37380674,5.108295,1.2185684,4.088499,-2.7771027,6.1094027,-2.725419,5.686683,-0.8127444,3.2973182,-0.5070555,4.1630645,-2.857712,5.269365,-1.1507949,4.1241727,-0.0021192818,3.9575498,-0.90915155,3.49028,-3.0459552,5.4295115,-0.37329432,4.1731305,-0.8491452,3.901104,-0.9221047,4.271368,-0.17031984,2.6795156,-1.1444225,3.1310666,-1.7256124,3.6107903,-1.4505605,3.6576917,0.0047212415,0.054704737,7239.2656482489965,4333.681827431549,5641.048020046347,2054.9437346025634,13279.1378257329,7981.393362760768,0.04662688314332247,0.04834221922611658,0.0027071815,0.004298456,633.9625878015655,741.0074135225179,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,neutral,normal,dogs_sitting,male
3,1,2,1,1,1,1,-759.92175,162.98659,75.78352,78.56628,6.023605,23.16162,14.557394,23.70345,6.4541883,13.676399,14.631508,18.99056,-3.004551,14.327635,4.6209702,9.515069,-5.200016,11.674165,-0.7074301,7.7869697,-7.790287,11.382717,-3.5649488,7.8706527,2.18097,9.36486,-1.8324069,8.702696,-0.35027313,6.7315984,0.8292604,5.887427,-2.5235536,6.5996547,-0.66125244,6.2938056,2.9179912,5.9361596,-1.9391866,6.44886,-3.0332398,7.8951054,-0.29330775,5.390429,-0.24490705,5.387369,-0.5406663,5.4155293,-2.9568312,6.001506,-2.1041048,5.7780547,-1.4002062,4.322376,-0.9253891,4.017953,-3.7227933,6.4071794,-1.9921645,5.1259255,0.20646304,3.3105175,-2.1885817,4.2872634,-2.8355007,5.1943593,0.46374586,3.2048132,-1.0191672,4.0585384,-1.4114405,4.4996896,0.35043326,4.1345816,-1.5198916,4.803705,-1.2501123,3.54088,-0.6138516,3.0895276,0.0016235696,0.018366288,6997.31180981541,4373.360790966367,5518.637358834025,1916.039761539214,12649.543486445784,7902.073641702043,0.04592932275978916,0.05137588524283406,0.0015786955,0.0024973268,548.172884441946,659.0299565453475,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,calm,normal,kids_talking,male
3,1,4,1,1,2,1,-732.4854,162.58658,80.96551,81.53423,3.4866977,23.930344,13.03123,23.097816,8.979398,14.11398,14.107941,18.02267,-4.78729,16.827793,6.040529,9.205723,-4.208775,11.962805,-5.16262,9.132701,-7.1502514,9.262382,-4.6642747,7.7973905,-0.31327254,7.5055976,-2.1768177,7.991661,-0.45821697,7.045686,-1.0323427,5.3498845,-2.9702644,6.3391495,-0.028320625,4.6136885,0.24600051,5.8457274,-1.661396,5.206405,-2.221555,6.6108246,-1.8605201,4.97223,-1.1843706,5.2485533,1.2160261,4.2452207,-3.4273987,5.947408,-3.7494137,6.807786,-0.94611907,4.395767,0.095698,4.11164,-3.8884897,6.373528,-1.7439626,4.29488,0.07629962,4.1296997,-2.0458455,4.777657,-1.9808112,3.9986367,-1.1088154,4.4913106,-1.7234302,4.271154,-1.6846809,3.9709053,-0.90431046,3.5226173,-0.77341145,3.7780647,-1.7357408,3.3849535,-1.7303205,3.175585,0.0022418005,0.02608034,6610.435405112448,4201.418284870658,5502.210857419677,2074.0797845983425,12477.565298507463,7882.504566644462,0.04294980177238806,0.04975849939455868,0.0019012076,0.0029135416,469.388759459964,628.7160539176884,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,sad,normal,kids_talking,male
3,1,4,2,1,1,1,-704.1285,157.46622,77.837975,84.5584,5.096842,23.954493,14.805322,23.418882,8.49169,14.546946,14.999448,17.980968,-6.490629,17.327137,5.851003,8.837711,-5.3327923,12.170802,-4.5298414,9.944682,-6.2781534,11.710729,-1.552901,8.800607,0.5103895,8.115781,-4.0415516,10.390274,0.811539,7.235196,-0.8273821,6.4841094,-3.6847048,7.211772,-1.7788117,6.4286537,1.9421065,6.3431797,-2.2469885,6.6252036,-3.2226808,7.160929,-2.7722187,6.013298,-1.696434,6.478845,0.1908174,3.5381596,-2.7372367,6.2621794,-2.7511287,5.881379,-1.772287,4.771105,-0.3688825,4.2013183,-4.9468603,7.5376077,-1.9291251,4.836835,-0.75270057,3.883459,-1.7337325,4.625362,-2.1706603,4.9872622,-0.41602337,3.9106452,-0.13685283,3.4261928,-1.0945629,4.1121984,-0.43080318,3.9730265,-1.9481626,4.8592014,-0.8935876,3.3358443,-1.6140404,3.7375646,0.0041578524,0.04401168,6343.886846569586,4238.982288284576,5318.847928563224,2099.046771090451,11843.159138655463,7967.041156451145,0.04405746673669468,0.05495993581038114,0.0027989103,0.0038132786,637.4332027178666,744.3983280651588,/content/drive/MyDrive/DSI_Abschlussprojekt/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav,sad,strong,kids_talking,male
